P31946;Ensembl;ENSG00000166913
P62258;Ensembl;ENSG00000108953
P62258;Ensembl;ENSG00000274474
Q04917;Ensembl;ENSG00000128245
P61981;Ensembl;ENSG00000170027
P31947;Ensembl;ENSG00000175793
P27348;Ensembl;ENSG00000134308
P63104;Ensembl;ENSG00000164924
P30443;Ensembl;ENSG00000229215
P30443;Ensembl;ENSG00000224320
P01892;Ensembl;ENSG00000235657
P01892;Ensembl;ENSG00000227715
P04439;Ensembl;ENSG00000206503
P13746;Ensembl;ENSG00000206503
Q96QU6;Ensembl;ENSG00000110455
Q4AC99;Ensembl;ENSG00000205126
P30447;Ensembl;ENSG00000223980
P05534;Ensembl;ENSG00000229215
P05534;Ensembl;ENSG00000224320
P18462;Ensembl;ENSG00000206505
P30450;Ensembl;ENSG00000206505
P30512;Ensembl;ENSG00000231834
P16188;Ensembl;ENSG00000206503
P16189;Ensembl;ENSG00000231834
P10314;Ensembl;ENSG00000223980
P16190;Ensembl;ENSG00000231834
P30453;Ensembl;ENSG00000206505
P30455;Ensembl;ENSG00000229215
P30455;Ensembl;ENSG00000224320
P30456;Ensembl;ENSG00000206505
P30457;Ensembl;ENSG00000206505
P01891;Ensembl;ENSG00000235657
P10316;Ensembl;ENSG00000235657
P30459;Ensembl;ENSG00000223980
Q09160;Ensembl;ENSG00000229215
Q09160;Ensembl;ENSG00000224320
P01889;Ensembl;ENSG00000234745
P30460;Ensembl;ENSG00000223532
P30461;Ensembl;ENSG00000224608
P30462;Ensembl;ENSG00000223532
P30464;Ensembl;ENSG00000232126
P30466;Ensembl;ENSG00000206450
P03989;Ensembl;ENSG00000224608
P30685;Ensembl;ENSG00000206450
P18463;Ensembl;ENSG00000206450
Q95365;Ensembl;ENSG00000223532
P30475;Ensembl;ENSG00000223532
Q04826;Ensembl;ENSG00000206450
P30479;Ensembl;ENSG00000223532
P30480;Ensembl;ENSG00000234745
P30481;Ensembl;ENSG00000228964
P30483;Ensembl;ENSG00000232126
P30484;Ensembl;ENSG00000232126
P30485;Ensembl;ENSG00000224608
P30486;Ensembl;ENSG00000234745
P30487;Ensembl;ENSG00000224608
P30488;Ensembl;ENSG00000232126
P18464;Ensembl;ENSG00000206450
P30490;Ensembl;ENSG00000232126
P30491;Ensembl;ENSG00000206450
P30492;Ensembl;ENSG00000206450
P30493;Ensembl;ENSG00000206450
P30495;Ensembl;ENSG00000206450
P18465;Ensembl;ENSG00000224608
P10319;Ensembl;ENSG00000224608
Q29940;Ensembl;ENSG00000206450
Q29836;Ensembl;ENSG00000234745
Q31612;Ensembl;ENSG00000234745
P30498;Ensembl;ENSG00000206450
Q31610;Ensembl;ENSG00000234745
Q29718;Ensembl;ENSG00000206450
P30499;Ensembl;ENSG00000237022
P30501;Ensembl;ENSG00000228299
P04222;Ensembl;ENSG00000225691
P30504;Ensembl;ENSG00000206435
P30504;Ensembl;ENSG00000206452
Q9TNN7;Ensembl;ENSG00000206435
Q9TNN7;Ensembl;ENSG00000206452
Q29963;Ensembl;ENSG00000228299
P10321;Ensembl;ENSG00000204525
P30505;Ensembl;ENSG00000206435
P30505;Ensembl;ENSG00000206452
P30508;Ensembl;ENSG00000228299
P30510;Ensembl;ENSG00000237022
Q07000;Ensembl;ENSG00000206435
Q07000;Ensembl;ENSG00000206452
Q29960;Ensembl;ENSG00000237022
Q95604;Ensembl;ENSG00000206435
Q95604;Ensembl;ENSG00000206452
Q29865;Ensembl;ENSG00000228299
Q15172;Ensembl;ENSG00000066027
Q15173;Ensembl;ENSG00000068971
Q14738;Ensembl;ENSG00000112640
Q16537;Ensembl;ENSG00000154001
Q13362;Ensembl;ENSG00000078304
P30153;Ensembl;ENSG00000105568
P30154;Ensembl;ENSG00000137713
P63151;Ensembl;ENSG00000221914
Q00005;Ensembl;ENSG00000156475
Q66LE6;Ensembl;ENSG00000175470
Q9Y2T4;Ensembl;ENSG00000074211
P04229;Ensembl;ENSG00000196126
P01912;Ensembl;ENSG00000206306
