Gene,log2FoldChange,Foldchange_pair_1,Foldchange_pair_2,Foldchange_pair_3,Foldchange_pair_4,Foldchange_pair_5,Foldchange_pair_6,Foldchange_pair_7
ENSG00000000938,-1.502338867,-0.410545290486169,-1.17997398634156,-2.5740287194834,-0.98829171722041,-0.86596560448156,-1.27237835883734,-1.78725875914985
ENSG00000000971,-3.163657581,-3.8891780155088,-1.5917495660691,-4.4757672018863,-2.0317046772402,-2.0320747802396,-3.3370651515561,-3.8154787064281
ENSG00000001084,-2.552685447,-2.04833480498546,-1.1486759206923,-2.24158812266447,-1.75486491209566,-2.72120536433752,-2.31561274991182,-1.7299016679052
ENSG00000001460,1.165898582,0.0877973419115,0.39260928673928,1.59543285384909,0.67882766582335,1.29690038017545,0.92378557599078,0.92675028496343
ENSG00000001461,1.332211212,0.755100037298961,1.04531830569289,1.163161301253,1.39433541362268,1.27627434944404,0.79307189673416,0.68304086882355
ENSG00000001561,0.874822397,0.43330045629804,1.00608276707774,-0.187920233135161,1.17465682883897,0.760015143564321,0.497966855772301,1.0929513236864
ENSG00000001626,4.392914297,3.5858303234963,2.06879371282251,5.08191308326517,2.43442828228807,3.62099112151147,4.75213999548354,2.74449514557114
ENSG00000001629,1.090051064,0.559903737108,1.0981914954961,0.67771750038326,0.78310178903811,1.27232226165313,0.853280670710291,0.21352159017305
ENSG00000001630,-1.250520807,-0.9588683668503,-1.5993420302296,-0.5860659390307,-0.84950280710143,-0.8190368010802,-0.946083560704901,-0.9611368424773
ENSG00000002079,3.362095987,2.50169300174085,3.69403981472278,1.23626449714122,2.26846079044498,3.35526736423638,2.95005270042184,-1.53078523750091
ENSG00000002549,-1.528629409,-1.2633324722445,-1.099077344564,-2.14766719990943,0.436750288862001,-1.1409875308265,-1.2870047078015,-1.1446925138559
ENSG00000002586,-0.624116685,0.1327802774387,-1.0486791026519,-0.823158607234101,-0.592398700522699,-0.466061079259299,-0.0260738763794,-1.1997545314123
ENSG00000002587,4.732004883,3.32901769464794,4.81165895860527,3.09855832053547,3.54552656712029,5.10046155344523,3.63408684452263,2.21279314971543
ENSG00000002746,3.006825205,3.14751902965764,1.44632976577361,1.12944148772171,1.03641279775889,-0.62827563368987,5.23823131251875,0.59309288101832
ENSG00000002834,0.532837199,0.330958138003599,0.4975567742918,0.5785442543941,0.394996807832801,0.2817075068167,0.220726185129399,0.5096130360857
ENSG00000002933,-3.386806557,-4.82086013535601,-2.7784452661703,-2.5648415937732,-2.2374866421113,-2.4745841188139,-3.5472546776489,-2.128841083807
ENSG00000003056,1.013365604,0.2820508574359,0.3908767074315,1.5835796533126,1.26502986426647,0.1912631839726,1.0265216867957,0.780577739453999
ENSG00000003137,2.414401389,-0.07097815863906,0.53701725427146,2.27681194467653,2.14724508653863,-0.86696922901457,1.64961873773332,3.39099725706194
ENSG00000003147,1.81998162,-0.68267357267246,1.65068980939765,0.80632014211662,1.45257226221431,2.68156534055574,1.8972592319988,1.02725987726742
ENSG00000003249,1.984640135,0.227113218584799,2.4044313875756,2.44116200439423,0.50646675840349,2.25741743914608,1.65381552157194,2.82617622783778
ENSG00000003393,-0.563223193,-0.730123647613711,0.2709053869616,-0.7709439385408,-0.555598273297999,-0.576446161028199,-0.634554852012231,-0.120797376991
